t,momentum,ratio,sm_momentum,sm_ratio,happens_within,occurs_within,cross_threshold_from_above,cross_threshold_from_below,trending_down_and_above,trending_up_and_below,troughs,zone,peaks
2024-02-02,0.1686363608309129,0.7813697151925761,-0.01574208605852619,-0.5794896716311484,15,26,-0.18271221532091098,-0.19202898550724637,-0.2567287784679089,0.7236024844720497,-0.14389233954451347,0.0,-0.12577639751552794
2024-12-02,-0.34304656064386274,-0.7536154096824458,-0.6700457072264836,0.21435286846770812,457,646,-0.18271221532091098,0.8079710144927537,-0.2567287784679089,1.7236024844720497,-0.14389233954451347,0.0,-0.12577639751552794
2023-05-17,0.5802005321226357,0.7718651535391804,0.37460056388415164,0.2963254625965034,7,10,-0.18271221532091098,-0.19202898550724637,-0.2567287784679089,-0.27639751552795033,-0.14389233954451347,0.0,-0.12577639751552794
2023-07-27,0.013180380642166024,-0.06494721090444885,-0.7118112410353984,-0.34432149132397416,114,172,0.817287784679089,-0.19202898550724637,-0.2567287784679089,-0.27639751552795033,-0.14389233954451347,0.0,-0.12577639751552794
2024-12-20,-0.2670887597192202,0.3568155499952702,0.19514264307859258,0.8280918003312343,224,304,0.817287784679089,-0.19202898550724637,0.7432712215320911,-0.27639751552795033,-0.14389233954451347,0.0,-0.12577639751552794
2023-12-07,-0.10903678761459344,-0.167351471718109,0.279639836103218,0.2568752293903682,15,24,-0.18271221532091098,-0.19202898550724637,-0.2567287784679089,-0.27639751552795033,-0.14389233954451347,0.0,-0.12577639751552794
2023-06-15,-0.7795002629148171,-0.5178818846046923,0.7142652924986616,0.7368639265829644,3,4,-0.18271221532091098,-0.19202898550724637,-0.2567287784679089,-0.27639751552795033,-0.14389233954451347,0.0,-0.12577639751552794
2024-08-26,0.3584179613198121,0.1659154669435769,0.8963758829397498,0.2903009921820831,4,4,-0.18271221532091098,-0.19202898550724637,-0.2567287784679089,-0.27639751552795033,-0.14389233954451347,0.0,-0.12577639751552794
2024-09-03,-0.27388942108893355,-0.4637369668638763,0.3304831625492883,0.2852705190892827,230,288,0.817287784679089,-0.19202898550724637,0.7432712215320911,-0.27639751552795033,-0.14389233954451347,0.0,-0.12577639751552794
2024-01-12,0.20570650561112058,0.251214107628996,-0.6470040986335905,-0.5886397438184484,28,40,-0.18271221532091098,-0.19202898550724637,-0.2567287784679089,1.7236024844720497,-0.14389233954451347,0.0,-0.12577639751552794
2024-01-18,0.3774960106051581,0.5302383565270695,-0.2731228333037838,-0.5399704746356302,200,254,-0.18271221532091098,0.8079710144927537,-0.2567287784679089,0.7236024844720497,-0.14389233954451347,0.0,-0.12577639751552794
2025-01-15,0.08835937404598318,0.3770555570532681,-0.26126107575170676,-0.4113611570036464,267,378,-0.18271221532091098,0.8079710144927537,-0.2567287784679089,0.7236024844720497,-0.14389233954451347,0.0,-0.12577639751552794
2024-08-20,0.5091628169133318,-0.17285160089766338,0.2975720212009428,-0.4166781379262565,257,456,-0.18271221532091098,0.8079710144927537,-0.2567287784679089,-0.27639751552795033,-0.14389233954451347,0.0,-0.12577639751552794
2024-01-08,-0.1211049566366349,-0.017882836177259963,-0.8278680228908591,-0.46868976475676677,4,4,-0.18271221532091098,-0.19202898550724637,-0.2567287784679089,-0.27639751552795033,-0.14389233954451347,0.0,-0.12577639751552794
2024-03-15,0.21443504187245044,0.4560627226093627,-0.833381031327572,-0.5960541709212562,3,4,-0.18271221532091098,-0.19202898550724637,-0.2567287784679089,-0.27639751552795033,-0.14389233954451347,0.0,-0.12577639751552794
2024-07-18,-0.9143401808893609,-0.9207677715635496,-0.0882284776800475,0.3603713657028565,147,238,0.817287784679089,-0.19202898550724637,-0.2567287784679089,-0.27639751552795033,-0.14389233954451347,0.0,-0.12577639751552794
2024-04-05,0.41669951500197544,0.5574261401131901,-0.022223855956066442,-0.12003666960794503,151,210,0.817287784679089,-0.19202898550724637,-0.2567287784679089,-0.27639751552795033,-0.14389233954451347,0.0,-0.12577639751552794
2023-04-13,-0.1493268138935832,0.1494154650771957,0.06033408978538006,-0.09163178388899854,4,6,-0.18271221532091098,-0.19202898550724637,-0.2567287784679089,-0.27639751552795033,-0.14389233954451347,0.0,-0.12577639751552794
2024-04-24,-0.4408415023909599,0.41211912660221667,-0.14351978192622064,-0.2488730483627895,3,8,-0.18271221532091098,-0.19202898550724637,-0.2567287784679089,-0.27639751552795033,-0.14389233954451347,0.0,-0.12577639751552794
2023-10-12,0.43407240586542084,0.048114038970793145,0.6397186368623435,0.11572474353246966,250,402,-0.18271221532091098,-0.19202898550724637,-0.2567287784679089,-0.27639751552795033,-0.14389233954451347,0.0,1.874223602484472
2024-12-23,-0.3794834047573834,0.19609978989899643,-0.24381375936521943,0.7280575612141165,218,352,0.817287784679089,-0.19202898550724637,-0.2567287784679089,-0.27639751552795033,-0.14389233954451347,0.0,-0.12577639751552794
2023-10-30,0.07142223461840444,0.5349566983264871,-0.36231585584897263,-0.5678782437594379,9,18,-0.18271221532091098,-0.19202898550724637,-0.2567287784679089,0.7236024844720497,-0.14389233954451347,0.0,-0.12577639751552794
2023-06-22,-0.5413711479259262,-0.7502383631314037,0.16109651972410702,0.6410582027503138,14,26,-0.18271221532091098,-0.19202898550724637,0.7432712215320911,-0.27639751552795033,-0.14389233954451347,0.0,-0.12577639751552794
2024-05-16,0.3763689744746122,0.6756883118437729,-0.8725067071392943,-0.4790848927207996,3,4,-0.18271221532091098,-0.19202898550724637,-0.2567287784679089,-0.27639751552795033,-0.14389233954451347,0.0,-0.12577639751552794
2024-08-01,0.7484000472364575,-0.13442222578726928,-0.596526497415935,-0.29057577954376934,5,6,-0.18271221532091098,-0.19202898550724637,-0.2567287784679089,-0.27639751552795033,-0.14389233954451347,0.0,-0.12577639751552794
2023-09-20,0.26420689250925744,0.49771503951234675,0.24750389763112754,0.4237016749971567,19,24,-0.18271221532091098,-0.19202898550724637,0.7432712215320911,-0.27639751552795033,-0.14389233954451347,0.0,-0.12577639751552794
2023-05-24,0.4365047710952849,1.0180850472479448,0.08406018484481577,0.2962689515499656,20,38,-0.18271221532091098,-0.19202898550724637,0.7432712215320911,-0.27639751552795033,-0.14389233954451347,0.0,-0.12577639751552794
2024-04-08,0.4585309595905162,0.6449544998182644,-0.09917601187831075,-0.1560367833337667,4,10,-0.18271221532091098,-0.19202898550724637,-0.2567287784679089,-0.27639751552795033,-0.14389233954451347,0.0,-0.12577639751552794
2023-11-08,0.4173196477359647,0.9397085062478321,0.9875963126865488,0.3937776098016283,173,286,-0.18271221532091098,0.8079710144927537,-0.2567287784679089,-0.27639751552795033,-0.14389233954451347,0.0,-0.12577639751552794
2024-05-06,-0.31211395002357895,-0.5197312654648071,0.7123336153793461,0.3835396951966789,135,210,-0.18271221532091098,0.8079710144927537,-0.2567287784679089,-0.27639751552795033,-0.14389233954451347,0.0,-0.12577639751552794
2024-10-18,0.5043353824859306,0.2927422296013326,-0.3892961897904494,-0.4354336627683275,233,320,-0.18271221532091098,0.8079710144927537,-0.2567287784679089,0.7236024844720497,-0.14389233954451347,0.0,-0.12577639751552794
2024-12-17,0.32797165507964043,0.7148770223731998,0.7412329798440267,0.8993121288056342,149,238,-0.18271221532091098,0.8079710144927537,-0.2567287784679089,-0.27639751552795033,-0.14389233954451347,0.0,-0.12577639751552794
2024-01-31,-0.07338184275445392,0.6672031809117133,-0.3723147538303905,-0.6559312789748742,228,208,-0.18271221532091098,0.8079710144927537,-0.2567287784679089,0.7236024844720497,-0.14389233954451347,0.0,-0.12577639751552794
2024-03-14,0.18835715979314813,0.4108812864236561,-0.7426088551420362,-0.48605547945115873,137,214,0.817287784679089,-0.19202898550724637,-0.2567287784679089,-0.27639751552795033,-0.14389233954451347,0.0,-0.12577639751552794
2024-04-23,-0.30421345450977516,0.573985931628659,-0.08642321237944174,-0.21820915494371665,113,114,0.817287784679089,-0.19202898550724637,-0.2567287784679089,-0.27639751552795033,-0.14389233954451347,0.0,-0.12577639751552794
2024-07-10,0.3909270235805169,0.724613050806612,0.5194991128063783,0.48940777200741054,29,30,-0.18271221532091098,-0.19202898550724637,1.7432712215320911,-0.27639751552795033,-0.14389233954451347,0.0,-0.12577639751552794
