time,Open,High,Low,Close,Label
1989-06-29,0.0,0.37,0.36,0.36,N
1989-06-30,0.0,0.37,0.35,0.37,N
1989-07-03,0.0,0.37,0.36,0.36,N
1989-07-05,0.0,0.36,0.36,0.36,N
1989-07-06,0.0,0.37,0.36,0.37,N
1989-07-07,0.0,0.38,0.36,0.37,N
1989-07-10,0.0,0.37,0.36,0.36,N
1989-07-11,0.0,0.37,0.35,0.35,N
1989-07-12,0.0,0.36,0.35,0.36,N
1989-07-13,0.0,0.37,0.35,0.36,N
1989-07-14,0.0,0.37,0.35,0.36,N
1989-07-17,0.0,0.37,0.35,0.36,N
1989-07-18,0.0,0.36,0.35,0.35,N
1989-07-19,0.0,0.36,0.35,0.36,N
1989-07-20,0.0,0.37,0.35,0.36,N
1989-07-21,0.0,0.36,0.35,0.36,N
1989-07-24,0.0,0.35,0.35,0.35,N
1989-07-25,0.0,0.35,0.34,0.35,N
1989-07-26,0.0,0.34,0.34,0.34,R
1989-07-27,0.0,0.35,0.34,0.35,N
1989-07-28,0.0,0.35,0.35,0.35,N
1989-07-31,0.0,0.36,0.35,0.35,N
1989-08-01,0.0,0.36,0.35,0.36,N
1989-08-02,0.0,0.36,0.35,0.36,N
1989-08-03,0.0,0.37,0.36,0.37,N
1989-08-04,0.0,0.38,0.37,0.38,N
1989-08-07,0.0,0.39,0.38,0.39,N
1989-08-08,0.0,0.4,0.39,0.39,N
1989-08-09,0.0,0.41,0.39,0.39,N
1989-08-10,0.0,0.39,0.38,0.39,N
1989-08-11,0.0,0.39,0.37,0.37,N
1989-08-14,0.0,0.38,0.36,0.36,N
1989-08-15,0.0,0.37,0.36,0.37,N
1989-08-16,0.0,0.37,0.36,0.36,N
1989-08-17,0.0,0.37,0.36,0.37,N
1989-08-18,0.0,0.38,0.37,0.38,N
1989-08-21,0.0,0.39,0.38,0.38,N
1989-08-22,0.0,0.38,0.38,0.38,N
1989-08-23,0.0,0.4,0.38,0.39,N
1989-08-24,0.0,0.4,0.39,0.39,N
1989-08-25,0.0,0.4,0.39,0.4,N
1989-08-28,0.0,0.4,0.39,0.4,N
1989-08-29,0.0,0.4,0.39,0.39,N
1989-08-30,0.0,0.4,0.39,0.4,N
1989-08-31,0.0,0.4,0.4,0.4,N
1989-09-01,0.0,0.4,0.4,0.4,N
1989-09-05,0.0,0.41,0.4,0.4,N
1989-09-06,0.0,0.4,0.39,0.4,N
1989-09-07,0.0,0.41,0.4,0.4,N
1989-09-08,0.0,0.4,0.4,0.4,N
1989-09-11,0.0,0.41,0.4,0.41,N
1989-09-12,0.0,0.42,0.4,0.41,N
1989-09-13,0.0,0.42,0.4,0.4,N
1989-09-14,0.0,0.4,0.4,0.4,N
1989-09-15,0.0,0.4,0.4,0.4,N
1989-09-18,0.0,0.4,0.39,0.39,N
1989-09-19,0.0,0.4,0.38,0.39,N
1989-09-20,0.0,0.4,0.39,0.4,N
1989-09-21,0.0,0.41,0.4,0.4,N
1989-09-22,0.0,0.4,0.4,0.4,N
1989-09-25,0.0,0.41,0.4,0.4,N
1989-09-26,0.0,0.41,0.4,0.4,N
1989-09-27,0.0,0.4,0.39,0.4,N
1989-09-28,0.0,0.41,0.4,0.41,N
1989-09-29,0.0,0.41,0.4,0.4,N
1989-10-02,0.0,0.4,0.39,0.4,N
1989-10-03,0.0,0.4,0.39,0.39,N
1989-10-04,0.0,0.4,0.39,0.4,N
1989-10-05,0.0,0.42,0.4,0.41,N
1989-10-06,0.0,0.43,0.41,0.43,N
1989-10-09,0.0,0.44,0.42,0.44,R
1989-10-10,0.0,0.45,0.43,0.44,N
1989-10-11,0.0,0.44,0.43,0.44,N
1989-10-12,0.0,0.44,0.43,0.44,N
1989-10-13,0.0,0.44,0.4,0.41,N
